town,year,week,value
屏東縣車城鄉,2015,2,4.33
屏東縣里港鄉,2015,2,16.83
屏東縣長治鄉,2015,2,20.5
屏東縣霧臺鄉,2015,2,19.0
屏東縣高樹鄉,2015,2,16.43
屏東縣鹽埔鄉,2015,2,19.83
屏東縣麟洛鄉,2015,2,20.5
彰化縣二林鎮,2015,2,14.38
彰化縣二水鄉,2015,2,19.25
彰化縣伸港鄉,2015,2,17.25
彰化縣北斗鎮,2015,2,18.5
彰化縣和美鎮,2015,2,18.25
彰化縣員林市,2015,2,20.5
彰化縣埔心鄉,2015,2,19.0
彰化縣埔鹽鄉,2015,2,16.25
彰化縣埤頭鄉,2015,2,15.4
彰化縣大城鄉,2015,2,14.11
彰化縣大村鄉,2015,2,19.75
彰化縣彰化市,2015,2,20.5
彰化縣永靖鄉,2015,2,18.0
彰化縣溪州鄉,2015,2,19.14
彰化縣溪湖鎮,2015,2,16.25
彰化縣田中鎮,2015,2,20.0
彰化縣田尾鄉,2015,2,18.0
彰化縣社頭鄉,2015,2,20.5
彰化縣福興鄉,2015,2,17.25
彰化縣秀水鄉,2015,2,19.5
彰化縣竹塘鄉,2015,2,15.25
彰化縣線西鄉,2015,2,17.0
彰化縣芬園鄉,2015,2,21.6
彰化縣花壇鄉,2015,2,20.0
彰化縣芳苑鄉,2015,2,15.0
彰化縣鹿港鎮,2015,2,17.17
新北市三峽區,2015,2,15.79
新北市三芝區,2015,2,6.6
新北市三重區,2015,2,35.0
新北市中和區,2015,2,16.5
新北市五股區,2015,2,18.0
新北市八里區,2015,2,11.25
新北市土城區,2015,2,14.33
新北市坪林區,2015,2,14.9
新北市平溪區,2015,2,12.88
新北市新店區,2015,2,15.0
新北市新莊區,2015,2,15.67
新北市板橋區,2015,2,18.5
新北市林口區,2015,2,12.5
新北市樹林區,2015,2,15.33
新北市永和區,2015,2,16.0
新北市汐止區,2015,2,16.29
新北市淡水區,2015,2,7.5
新北市深坑區,2015,2,17.5
新北市烏來區,2015,2,15.67
新北市瑞芳區,2015,2,8.83
新北市石碇區,2015,2,16.54
新北市石門區,2015,2,10.4
新北市萬里區,2015,2,7.67
新北市蘆洲區,2015,2,21.0
新北市貢寮區,2015,2,12.6
新北市金山區,2015,2,9.5
新北市雙溪區,2015,2,12.85
新北市鶯歌區,2015,2,14.5
新竹市北區,2015,2,14.0
新竹市東區,2015,2,14.0
新竹市香山區,2015,2,14.2
新竹縣五峰鄉,2015,2,13.0
新竹縣北埔鄉,2015,2,12.5
